\.\.	-5
WinRAR\\SFX	-4
[A-Za-z]:\\	2
(\.exe|\.pdb|\.scr|\.log|\.cfg|\.txt|\.dat|\.msi|\.com|\.bat|\.dll|\.pdb|\.vbs|\.tmp|\.sys|\.ps1)	4
(cmd.exe|system32|users|Documents and|SystemRoot|Grant|hello|password|process|log)	5
(ftp|irc|smtp|command|GET|POST|Agent|tor2web|HEAD)	5
(error|http|closed|fail|version|proxy)	3
(Mozilla|MSIE|Windows NT|Macintosh|Gecko|Opera|User\-Agent)	5
(TEMP|Temporary|Appdata|Recycler)	4
(scan|sniff|poison|intercept|fake|spoof|sweep|dump|flood|inject|forward|scan|vulnerable|credentials|creds|coded|p0c|Content|host)	5
(address|port|listen|remote|local|process|service|mutex|pipe|frame|key|lookup|connection)	3
([C-Zc-z]:\\)	4
\b(?:(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\.){3}(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\b	5
(coded | c0d3d |cr3w\b|Coded by |codedby)	7
\.[a-zA-Z]{3}\b	3
^[A-Z]{6,}$	3
^[a-z]{6,}$	2
^[a-z\s]{6,}$	2
^[A-Z][a-z]{5,}$	2
(%[a-z][:\-,;]|\\\\%s|\\\\[A-Z0-9a-z%]+\\[A-Z0-9a-z%]+)	3
(thawte|trustcenter|signing|class|crl|CA|certificate|assembly)	-4
( \-[a-z]{,2}[\s]?[0-9]?| /[a-z]+[\s]?[\w]*)	4
([a-zA-Z]:|^|%)\\[A-Za-z]{4,30}\\	4
^[^\\]+\.(exe|com|scr|bat|sys)$	4
(yyyy|hh:mm|dd/mm|mm/dd|%s:%s:)	3
[^A-Za-z](%s|%d|%i|%02d|%04d|%2d|%3s)[^A-Za-z]	3
(cmd|com|pipe|tmp|temp|recycle|bin|secret|private|AppData|driver|config)	3
(execute|run|system|shell|root|cimv2|login|exec|stdin|read|process|netuse|script|share)	3
(user|pass|login|logon|token|cookie|creds|hash|ticket|NTLM|LMHASH|kerberos|spnego|session|identif|account|login|auth|privilege)	3
(\.[a-z]/[^/]+\.txt|)	3
(spy|logger|dark|cryptor|RAT|eye|comet|evil|xtreme|poison|meterpreter|metasploit)	5
[\\](users|profiles|username|benutzer|Documents and Settings|Utilisateurs|Utenti|'UsuÃ¡rios)[\\]	3
^[A-Z][a-z]+[0-9]+$	1
(implant)	1
^[Cc]:\\\\[^PW]	3
(\\\\\.\\|kernel|.dll|usage|\\DosDevices\\)	5
( \-[a-z] | /[a-z] | \-[a-z]:[a-zA-Z]| \/[a-z]:[a-zA-Z])	4
^[a-zA-Z0-9]{3,40}\.[a-zA-Z]{3}	3
^([\*\#]+ |\[[\*\-\+]\] |[\-=]> |\[[A-Za-z]\] )	4
(!\.$|!!!$| :\)$| ;\)$|fucked|[\w]\.\.\.\.$)	4
^(?:[A-Za-z0-9+/]{4}){30,}(?:[A-Za-z0-9+/]{2}==|[A-Za-z0-9+/]{3}=)?$	4
(TVqQAAMAAAAEAAAA//8AALgAAAA|TVpQAAIAAAAEAA8A//8AALgAAAA|TVqAAAEAAAAEABAAAAAAAAAAAAA|TVoAAAAAAAAAAAAAAAAAAAAAAAA|TVpTAQEAAAAEAAAA//8AALgAAAA)	5
(loader|cmdline|ntlmhash|lmhash|infect|encrypt|exec|elevat|dump|target|victim|override|traverse|mutex|pawnde|exploited|shellcode|injected|spoofed|dllinjec|exeinj|reflective|payload|inject|back conn)	5
(administrator|highest|system|debug|dbg|admin|adm|root) privilege	4
(LSASS|SAM|lsass.exe|cmd.exe|LSASRV.DLL)	4
(\.exe|\.dll|\.sys)$	4
(^\\\\)	1
(\\Release\\|\\Debug\\|\\bin|\\sbin)	2
(Management Support Team1|/c rundll32|DTOPTOOLZ Co.|net start|Exec|taskkill)	4
(bypass|windowstyle | hidden |-command|IEX |Invoke-Expression|Net.Webclient|Invoke[A-Z]|Net.WebClient|-w hidden |-encoded|-encodedcommand| -nop |MemoryLoadLibrary|FromBase64String|Download|EncodedCommand)	4
( /c WMIC)	3
( net user | net group |ping |whoami |bitsadmin |rundll32.exe javascript:|schtasks.exe /create|/c start )	3
(new ActiveXObject\('WScript.Shell'\).Run|.Run\('cmd.exe|.Run\('%comspec%\)|.Run\('c:\\Windows|.RegisterXLL\()	3
( Inc | Co.|  Ltd.,| LLC| Limited)	2
(sysprep|cryptbase|secur32)	2
(isset\($post\[|isset\($get\[|eval\(Request)	2
(impersonate|drop|upload|download|execute|shell|\bcmd\b|decode|rot13|decrypt)	2
([+] |[-] |[*] |injecting|exploit|dumped|dumping|scanning|scanned|elevation|elevated|payload|vulnerable|payload|reverse connect|bind shell|reverse shell| dump |back connect |privesc|privilege escalat|debug privilege| inject |interactive shell|shell commands| spawning |] target |] Transmi|] Connect|] connect|] Dump|] command |] token|] Token |] Firing | hashes | etc/passwd| SAM | NTML|unsupported target|race condition|Token system |LoaderConfig| add user |ile upload |ile download |Attaching to |ser has been successfully added|target system |LSA Secrets|DefaultPassword|Password: |loading dll|.Execute\(|Shellcode|Loader|inject x86|inject x64)	4
(Mutex|NamedPipe|\\Global\\|\\pipe\\)	3
(isset\($post\[|isset\($get\[)	2
([a-f0-9]{32}|[a-f0-9]{40}|[a-f0-9]{64})	2
(sc.exe |schtasks|at \\\\|at [0-9]{2}:[0-9]{2})	3
(;chmod |; chmod |sh -c|/dev/tcp/|/bin/telnet|selinux| shell| cp /bin/sh )	3
(attacker|brute force|bruteforce|connecting back|EXHAUSTIVE|exhaustion| spawn| evil| elevated)	3
(abcdefghijklmnopqsst|ABCDEFGHIJKLMNOPQRSTUVWXYZ|0123456789:;)	-5